text,count
zootopia,37
written,1
by,28
jared,2
bush,2
phil,2
johnston,2
story,3
byron,1
howard,1
rich,1
moore,1
jim,1
reardon,1
josie,1
trinidad,1
and,331
jennifer,1
lee,1
in,183
black,4
we,147
hear,5
the,782
feral,3
primeval,1
sounds,5
of,224
a,582
jungle,3
at,101
night,29
timpani,2
bangs,4
an,47
ominous,1
beat,16
fade,2
on,164
bunny,39
nervously,2
walks,13
through,25
dark,3
foreboding,1
forest,3
frightened,1
every,6
shadow,3
moving,3
leaf,1
young,34
judy,105
v,22
o,58
fear,7
treachery,1
bloodlust,1
thousands,2
years,4
ago,3
these,13
were,20
forces,2
that,150
ruled,1
our,25
world,14
where,21
prey,16
scared,8
predators,20
had,9
uncontrollable,1
biological,3
urge,1
to,433
maim,1
maul,1
crescendos,1
jaguar,21
leaps,1
out,74
shadows,1
attacks,4
who,33
screams,2
cut,14
inside,7
barn,1
set,1
action,2
continues,5
as,81
imagined,1
amateur,1
stage,8
production,1
blood,9
reams,1
red,8
papier,1
mache,1
entrails,2
ooze,1
from,45
when,27
those,17
run,21
projectile,1
ketchup,1
reveal,13
are,90
animal,14
kid,26
actors,1
hopps,715
is,177
hero,6
this,85
her,147
play,5
being,7
staged,1
banner,1
reads,8
carrot,20
days,9
talent,1
show,3
cont,140
d,156
death,3
crowd,2
looks,59
confused,3
music,7
goes,11
discordant,1
bobby,1
catmull,5
bobcat,3
drum,1
back,52
then,57
was,64
divided,1
two,24
vicious,2
predator,18
or,21
meek,4
boxes,2
drop,2
down,30
labeled,1
box,8
lands,4
get,34
stuck,3
outside,4
she,108
drags,1
them,42
underneath,1
with,81
s,321
but,78
over,34
time,19
evolved,2
moved,1
beyond,1
primitive,3
savage,30
ways,3
sheep,14
wearing,6
white,3
muumuu,4
cardboard,1
rainbow,1
his,69
head,20
does,10
improvisational,1
dance,3
across,13
burst,2
their,29
now,38
muumuus,1
too,17
live,2
harmony,2
shake,2
hands,9
throws,4
glitter,1
mammal,12
has,17
multitudinous,1
opportunities,1
astronaut,5
yeah,34
i,362
don,50
t,127
have,67
cower,1
herd,1
anymore,3
rips,3
off,60
homemade,1
costume,4
instead,1
can,70
be,80
plays,5
slide,2
whistle,2
actuary,3
lonely,1
hunter,1
any,11
more,33
he,128
dressed,1
suit,1
today,3
hunt,1
for,71
tax,4
exemptions,1
m,52
gonna,40
make,20
better,13
place,15
am,28
going,28
style,1
cop,32
theme,1
boom,3
revealing,7
police,13
officer,35
uniform,4
parents,7
bonnie,44
stu,60
look,31
stunned,3
mean,23
fox,36
gideon,38
grey,26
snickers,1
sitting,2
next,10
weasel,16
most,2
stupidest,1
thing,10
ever,10
heard,4
it,246
may,10
seem,4
impossible,2
small,11
minds,2
points,5
looking,9
you,418
drops,3
backdrop,1
showing,3
bright,1
city,20
skyline,1
hits,4
uplifting,1
song,4
just,85
miles,3
away,18
stands,4
great,15
ancestors,1
first,18
joined,1
together,9
peace,2
declared,2
anyone,8
anything,18
thank,23
good,19
gives,14
mighty,1
thespian,1
bow,1
sound,4
organ,1
audience,1
applauds,2
concerned,2
ext,39
festival,2
later,41
day,40
replete,1
food,3
booths,1
games,1
rides,2
all,58
aggressively,1
themed,1
bounces,1
along,6
folks,2
catch,5
conversation,3
mid,1
stream,1
wonder,2
how,17
your,62
mom,5
me,73
got,30
so,69
darn,2
happy,5
nope,3
well,43
gave,3
up,90
dreams,7
settled,2
right,52
bon,3
oh,66
yes,28
hard,6
see,40
beauty,1
complacency,1
jude,4
if,32
try,8
new,12
ll,25
never,22
fail,2
like,42
trying,10
actually,14
what,111
father,2
means,3
hon,1
difficult,1
even,11
become,2
there,61
been,17
no,84
bunnies,5
do,51
guess,4
one,49
because,13
parkours,1
against,8
vendor,1
stand,3
um,5
heck,3
wanna,7
talk,6
about,36
making,7
trio,1
arrives,3
family,13
farm,5
booth,1
which,17
manned,1
many,2
children,2
count,1
way,16
than,10
becoming,2
farmer,2
dad,8
brothers,1
sisters,1
re,88
changing,1
yep,4
amen,1
farming,3
noble,1
profession,1
spots,7
stalking,1
some,23
animals,26
remains,2
fixed,2
yap,1
obliviously,1
mmm,2
hmm,2
putting,3
seeds,1
ground,5
ahh,1
soil,1
long,4
believe,5
em,3
much,11
finally,12
noticing,2
absence,1
go,47
fair,3
behind,16
tree,3
watches,8
intimidates,1
sharla,6
gimme,1
tickets,13
kick,1
little,60
butt,7
ow,2
baa,2
ya,18
cry,7
swipes,1
hey,40
charges,2
toward,8
danger,1
turns,18
projecting,1
image,1
tiny,11
clint,1
eastwood,1
nice,9
loser,2
crazy,6
living,2
think,29
could,16
kindly,1
return,1
my,54
friends,3
pats,1
pocket,2
come,23
`em,11
watch,7
`cause,3
said,9
dumb,10
us,19
used,6
eat,3
killer,1
instinct,1
still,11
dunnahh,1
travis,3
wolf,8
henchman,2
sotto,6
uh,17
pretty,7
sure,9
pronounced,1
n,2
tell,17
know,57
scare,1
shoves,3
falls,4
other,15
flee,1
safety,3
nearby,2
leaving,9
face,13
thugs,5
alone,3
starts,12
tear,3
nose,3
twitch,2
lookit,2
baby,4
suddenly,13
bam,11
kicks,4
hind,1
legs,3
stumbles,1
checks,1
lip,1
quit,7
unsheathes,1
claws,1
switchblade,1
slaps,3
drawing,2
cheek,2
cowers,1
want,15
remember,5
moment,7
will,23
stupid,2
pal,4
laughing,2
high,5
fiving,1
wipes,5
fights,1
tears,3
defeated,3
gareth,2
doubting,2
boy,13
bad,7
okay,36
smiles,9
whips,3
gets,14
here,44
wow,7
awesome,1
doesn,8
talkin,2
`bout,3
picks,6
hat,2
puts,10
academy,5
training,2
facility,1
comparatively,1
huge,7
cadets,3
sit,7
circle,1
major,12
friedkin,11
intimidating,1
drill,2
instructor,3
lectures,1
listen,9
unique,2
ecosystems,1
within,2
its,7
limits,1
tundra,2
town,4
sahara,8
square,8
rainforest,8
district,7
name,9
few,5
master,2
before,13
hit,6
streets,5
dead,15
simulator,1
struggles,4
sand,1
scorching,1
sandstorm,1
bumpkin,1
vine,5
covered,5
monkey,1
bars,3
swings,2
simulating,1
landing,2
mud,1
foot,3
fall,3
ice,14
wall,6
sprint,1
clawed,1
dig,2
into,47
slides,2
frigid,1
girl,1
boxing,1
ring,5
big,52
bison,2
e,1
normous,1
criminal,2
punched,2
three,10
quick,4
cuts,4
failure,2
toilet,7
ruses,1
stall,2
considerably,1
larger,1
shuts,2
door,35
climb,2
feet,3
hippo,3
kersplash,1
filthy,1
fluff,4
own,8
runs,8
sunset,1
after,9
everyone,9
else,4
called,8
voice,7
echoing,1
mind,3
home,5
fuzzy,2
overnight,1
barracks,1
stays,1
late,2
studying,1
doing,13
ups,1
bounds,3
jumps,7
backs,2
makes,4
impressing,1
dodges,1
misses,3
him,63
uses,5
momentum,2
kicking,2
hand,10
knocking,6
dissolve,4
graduation,1
mayor,21
lionheart,33
podium,2
proud,6
announce,1
inclusion,2
initiative,2
produced,1
graduate,1
proudly,3
valedictorian,1
class,5
zpd,27
very,10
rabbit,11
attendance,1
cheer,1
chief,15
among,2
assistant,6
bellwether,84
lost,3
clearing,1
throat,1
badge,18
steps,6
forward,5
pin,3
privilege,1
officially,1
assign,2
heart,1
precinct,1
center,2
barely,2
contain,1
glee,1
shock,2
congratulations,1
won,6
let,20
dream,2
since,8
real,20
guys,11
room,13
teeth,2
group,3
photographers,1
aim,1
cameras,2
front,10
edging,1
photo,5
flashbulbs,1
pop,12
bunnyburrow,4
train,29
station,11
several,3
siblings,1
accompany,1
really,22
kind,10
combo,1
far,3
such,6
ve,20
working,4
whole,3
life,11
excited,2
terrified,2
only,18
itself,2
also,3
bears,10
say,17
nothing,5
lions,1
wolves,17
weasels,1
cribbage,1
cheats,1
tomorrow,3
full,8
scolding,1
foxes,3
worst,2
retreating,2
point,3
biology,4
happened,10
jerk,4
plenty,3
jerks,1
absolutely,2
case,26
made,6
care,6
package,1
take,17
put,6
snacks,1
begins,2
pulling,1
bunch,2
pink,4
deterrents,1
bag,4
deterrent,2
safe,2
repellent,9
needs,2
check,1
removes,4
taser,3
fires,1
sizzles,1
goodness,2
sake,2
need,19
c,5
mon,2
not,62
stop,20
talking,9
grabs,6
pulls,11
terrific,1
wins,1
conductor,2
arriving,2
express,1
ok,1
gotta,12
bye,18
heads,3
held,1
turning,1
both,10
holding,8
emotion,1
catches,1
hugs,2
tight,3
love,11
squeeze,1
cripes,2
waterworks,1
pull,5
everybody,6
cotton,2
waving,1
faces,1
recede,1
distance,2
blasts,2
past,4
passing,5
exponentially,1
increasing,1
population,2
sign,5
iPhone,1
clicks,5
begin,1
montage,3
takes,15
rounds,1
curve,2
eyes,13
light,8
establishing,1
unbelievable,1
metropolis,1
comprised,1
amazing,2
habitat,1
boroughs,1
tundratown,10
savanna,1
central,9
meadowlands,1
etc,5
int,42
spills,1
multi,1
scale,1
environment,1
everything,9
mice,2
elephants,3
downtown,2
emerges,6
main,1
plaza,3
magnificent,1
jumbotron,1
featuring,1
gazelle,22
star,3
blares,1
message,1
loop,1
welcome,4
apartment,7
building,6
hallway,2
dharma,4
armadillo,5
older,1
landlady,1
opens,9
yet,6
grand,1
pangolin,1
arms,2
luxury,1
apartments,1
charm,1
discovers,1
crappy,2
studio,3
complimentary,1
de,1
lousing,1
once,4
month,1
handing,1
keys,6
lose,2
key,2
leaves,5
volatile,1
artsy,1
neighbors,2
kudu,6
oryx,7
pootosser,12
pass,2
hall,5
hi,7
neighbor,1
loud,4
expect,1
apologize,1
respond,4
they,85
gone,9
around,22
blank,1
faced,1
tough,4
read,2
emotions,1
greasy,1
walls,1
rickety,1
bed,3
shut,13
smile,10
flops,1
shouting,1
stretches,1
exhausted,2
overjoyed,1
wake,2
morning,4
rhythmic,1
alarm,2
clock,2
beep,8
dressing,1
vest,6
belt,2
bedside,1
table,4
sits,12
glances,2
smirks,1
taking,4
would,14
silly,2
frame,5
hold,6
second,11
comes,9
department,2
utter,1
mayhem,1
cops,10
parade,1
perps,1
lobby,6
cuffs,2
plastic,1
scary,1
muzzle,5
complains,1
bear,12
marching,1
leopard,3
bared,1
land,3
desk,14
find,35
clawhauser,49
pudgy,1
cheetah,2
happily,1
eating,3
bowl,1
lucky,1
chomps,1
cereal,1
scuse,1
leans,3
did,37
hire,1
cuter,1
thought,11
wince,1
ooo,3
probably,4
didn,12
call,11
another,20
cute,7
gasps,2
realizing,1
sorry,10
benjamin,2
guy,6
thinks,1
flabby,1
donut,11
loving,1
stereotyping,1
neck,4
fold,1
under,9
fat,1
went,9
dickens,2
crams,1
mouth,4
awkwardly,1
should,13
roll,3
bullpen,5
left,3
admiringly,1
himself,2
wistful,1
aw,7
poor,2
eaten,1
alive,2
continuous,6
enters,11
smallest,2
rhinos,1
buffalo,3
hippos,1
holds,10
paw,3
rhino,4
mchorn,7
ready,6
reluctant,2
fist,1
bump,1
nearly,2
chair,5
higgins,4
ten,3
hut,1
bogo,97
gruff,1
cape,1
dais,2
snaps,4
attention,3
stomping,1
floor,6
disappears,2
below,4
meant,1
items,2
docket,1
acknowledge,1
elephant,12
nods,2
francine,2
birthday,3
blushes,1
clap,1
number,8
recruits,2
introduce,1
push,1
pocked,1
map,2
photos,2
missing,18
mammals,6
wide,5
cases,4
giant,2
polar,19
teensy,2
otter,19
tail,4
priority,1
assignments,2
stack,3
files,3
reading,1
glasses,1
examining,1
assigns,1
officers,4
grizzoli,2
fangmeyer,2
delgato,2
teams,2
rhinowitz,1
wolfard,2
snarlov,2
trunkaby,1
expectant,1
steely,1
final,2
file,6
dramatic,2
breath,8
parking,7
duty,4
dismissed,2
sir,30
handle,1
forgot,1
top,6
forget,2
token,1
writing,1
hundred,7
easy,1
slamming,1
stomps,2
write,4
closed,4
noon,2
meter,19
maid,15
cart,5
dons,1
buckles,1
seat,6
floors,1
pedal,1
hour,4
leads,6
zooms,2
row,1
cars,4
marking,1
tires,1
cruising,1
super,4
sensitive,1
ears,5
ding,4
slams,3
brakes,2
issues,1
ticket,8
counter,3
traffic,12
expired,1
rolls,5
writes,2
herself,5
windshield,3
hears,2
street,9
truck,6
driver,8
suspicious,2
slinks,1
cafe,3
peeks,1
window,7
cream,6
parlor,1
jumbeaux,9
moments,18
scoop,2
trunks,3
suck,1
nuts,4
disgusting,1
nick,384
wilde,8
line,4
overhears,1
proprietor,1
jerry,10
addressing,1
jr,7
skulking,1
during,2
daylight,1
hours,6
trouble,3
road,3
unsnaps,1
holster,2
either,2
simply,1
buy,2
jumbo,5
slowly,4
creeping,1
expression,1
changes,4
sees,10
toddler,3
son,5
blue,4
staring,2
embarrassed,1
impulse,1
leave,5
disgusted,1
buddy,4
aren,6
joints,1
part,3
stops,5
tousles,1
hair,2
goofy,1
stinker,1
loves,1
things,6
wants,2
grows,1
toot,16
toy,2
trunk,3
isn,7
adorable,1
crush,1
huh,9
says,3
belittling,1
reserve,1
refuse,2
service,4
hello,9
excuse,3
wait,18
turn,8
metermaid,2
question,6
customers,1
aware,1
getting,4
snot,1
mucous,1
cookies,2
couple,3
overhear,1
spit,1
cause,2
scooping,1
un,2
gloved,1
health,1
code,1
violation,1
guilty,3
employee,1
releases,1
deal,4
course,5
warning,2
glove,2
finish,1
selling,4
please,23
stews,1
fifteen,1
dollars,4
digs,2
wallet,4
kidding,2
weren,2
attached,3
truth,1
mad,3
kisses,1
thanks,3
anyway,2
money,4
keep,11
change,2
enough,5
pay,4
treat,1
y,1
burns,1
backward,2
attitudes,1
articulate,1
fella,1
ah,7
praise,1
rare,1
someone,6
non,1
patronizing,1
totally,2
mr,43
grow,1
sticker,4
chest,2
popsicle,9
paws,3
give,8
toots,1
goodbye,1
spring,3
step,2
car,33
blocks,1
wave,2
notice,4
realizes,2
melting,2
hot,4
sun,1
channeling,1
juice,2
jugs,2
pack,3
van,5
drive,2
stares,2
follows,4
prints,1
create,1
molds,1
pour,1
creating,1
dozens,2
smaller,1
popsicles,3
scandalized,1
savannah,4
resell,1
pawpsicles,3
marked,1
prices,1
lemmings,2
buys,1
rakes,1
cash,2
throw,2
sticks,4
recycling,1
bin,2
finnick,9
bundle,2
mortified,1
rodentia,6
plop,1
mouse,7
construction,2
worker,2
lumber,1
delivery,1
color,2
redwood,2
graduated,1
genuine,1
anger,2
wad,1
work,4
diaper,1
kiss,4
daddy,3
deep,7
bite,4
ciao,1
drives,4
blaring,1
french,1
rap,1
discover,1
stood,1
lied,1
liar,2
hustle,4
sweetheart,4
corner,4
calmly,1
hurries,1
alright,5
slick,2
arrest,2
gee,1
without,3
permit,2
transporting,1
undeclared,1
commerce,2
borough,1
lines,1
false,1
advertising,1
produces,1
documents,1
receipt,1
falsely,2
advertise,1
told,6
wood,3
space,2
middle,2
touch,2
carrots,18
born,2
refrain,1
calling,2
naturally,1
assumed,1
came,2
choked,1
podunk,2
obvious,1
deerbrooke,1
county,1
grew,3
familiar,2
harsher,1
rapidly,2
naive,1
hick,1
grades,1
ideas,1
decides,1
move,2
sing,2
kumbaya,1
whoopsie,3
double,1
threesie,1
cares,2
soon,2
die,2
sinks,1
emotional,3
literal,1
squalor,1
bridge,7
til,1
choice,1
wuzzy,1
between,3
speechless,2
quickly,4
almost,4
crushes,1
careful,1
crushed,1
slightly,1
rattled,1
tells,1
especially,1
guts,1
hustler,1
thinking,4
sly,2
wet,2
cement,3
landed,1
though,5
maybe,5
supervisor,1
hang,3
evening,1
close,6
mat,1
radio,5
hurts,1
sadder,2
repeatedly,2
each,7
progressively,1
treacly,1
instrumental,1
score,1
scene,4
microwave,1
dinner,1
single,2
phone,22
rings,2
insert,2
facetime,2
shakes,3
sighs,5
fake,4
answers,2
dude,2
force,2
hoped,1
feel,4
difference,2
pops,2
holy,1
discovery,1
sweet,5
heaven,1
panicked,1
temporary,1
safest,1
job,5
prayers,1
answered,1
glorious,1
rest,2
meters,1
themselves,2
eye,4
buh,1
hangs,2
self,2
pitying,1
depressing,1
feels,2
quietly,1
might,5
worse,3
thunks,1
moose,2
seconds,1
dings,1
angry,2
gerbil,1
lady,3
ugh,1
mother,4
child,5
mommy,1
wishes,1
cool,2
salary,1
clearly,2
series,3
encounters,1
steering,1
wheel,3
less,1
convinced,1
utterance,1
frantic,3
pig,6
startles,1
rote,1
grievance,1
contest,1
citation,1
court,2
shop,2
robbed,1
running,2
stolen,1
goods,1
snapping,1
worry,2
chase,3
ditching,1
law,2
duke,15
weaselton,17
cottontail,1
screeches,2
whoa,6
coming,9
hood,1
dibs,1
pursuit,1
chases,2
races,4
advances,1
ducks,1
size,1
freeze,1
enter,1
teeming,1
rodents,3
using,2
skates,1
smashing,1
knocks,3
able,1
save,1
crashing,1
resuming,1
precariously,1
midst,1
large,3
`Scuse,2
pardon,1
locates,1
safely,1
escape,1
voyage,1
flat,1
short,1
scream,5
amidst,1
chaos,1
ornamental,1
coppah,1
towards,1
shrews,1
mousies,1
fru,16
shrew,8
ohmygawd,1
print,1
jeggings,1
kill,3
aaaaaaaaaaaagh,1
last,7
meanwhile,2
stealing,3
smugly,1
papa,1
nowhere,2
dumps,1
overflowing,1
filing,1
reports,2
dealing,1
mrs,20
otterton,46
patient,1
settles,1
